ACCOUNT_KEY,AGE,GENDER,MARITAL_STATUS,INCOME_MIDPOINT,CHILDREN_IN_HH,NUMBER_OF_CHILDREN
129,68,Female,Married,37500,,
332,55,Male,Married,150000,N,
382,,,,,,
403,,,,,,
457,51,Male,Single,137500,N,0
497,33,Female,Married,150000,Y,2
567,,,,,,
600,,,Single,,,
823,51,Male,Single,150000,N,0
875,46,Female,Married,150000,Y,2
1040,75,Male,Married,137500,Y,1
1048,,,,,,
1617,35,Male,Single,95000,N,1
1663,,,,,,
1876,44,Male,Single,162500,Y,1
1877,,,Single,70000,N,0
1884,38,Male,Married,187500,N,0
1984,53,Male,Married,150000,Y,1
2262,,,,,,
2294,34,Male,Married,65000,Y,1
2307,38,Male,Single,47500,N,0
2376,,,,,,
2572,,,,,,
2605,,,,,,
3235,58,Male,Single,225000,,
3423,27,Male,Married,150000,N,0
3657,61,Male,Married,150000,Y,1
3965,,,,,,
3976,59,Male,Married,150000,N,0
4270,46,Male,Married,75000,N,0
4530,,,,,,
4700,40,Female,Married,75000,Y,2
4769,35,Male,Married,150000,Y,1
4798,75,Male,Married,112500,N,0
4881,,,,,,
4902,,,,,,
5117,37,Male,Single,85000,Y,1
5215,,,,,,
5218,48,Male,Married,150000,Y,1
5282,,,,,,
5287,40,Female,Married,162500,Y,1
5330,,,Married,112500,N,0
5428,66,Male,Single,112500,Y,1
5456,66,Male,Married,65000,N,0
5935,32,Female,Single,150000,Y,1
5998,65,Female,Married,150000,N,1
6044,63,Male,Married,150000,Y,1
6106,53,Female,Married,112500,Y,1
6274,66,Male,Single,57500,,
6328,26,Male,Single,62500,,
6466,63,Male,Married,25000,Y,2
6754,58,Female,Married,75000,N,0
6828,29,Male,Single,150000,N,
6835,70,Female,Married,95000,N,
6840,32,Male,Single,150000,Y,2
6882,,,,,,
7161,62,Male,Married,95000,Y,1
7248,,,,,,
7273,,,,,,
7282,41,Male,Single,25000,N,0
7401,48,Male,Married,125000,N,0
7607,,,,,,
7663,,,,,,
7697,53,Male,Single,25000,N,
7765,72,Female,Married,137500,N,0
7814,50,Female,Married,162500,Y,1
7864,47,Male,Married,150000,Y,2
7968,50,Male,Single,150000,N,0
8264,48,Female,Single,7500,Y,1
8367,35,Male,Single,85000,N,
8435,54,Male,Married,150000,Y,1
8667,45,Male,Single,85000,Y,2
8841,79,Male,Married,7500,N,2
8905,51,Male,Married,112500,Y,3
8997,50,Male,Married,45000,Y,1
9121,54,Female,Single,250000,N,0
9147,58,Male,Married,150000,N,
9302,,,,,,
9325,45,Male,Married,35000,Y,1
9577,63,Female,Married,35000,N,
9788,50,Male,Married,250000,Y,1
9868,24,Female,Married,250000,,
10041,34,Female,Single,112500,N,0
10210,,,,,,
10324,,,,,,
10447,67,Male,Married,112500,Y,3
10462,26,Male,Single,150000,N,0
10465,,,,,,
10626,,Female,Single,7500,Y,1
10698,55,Male,Married,65000,N,0
11046,43,Female,Single,150000,Y,1
11224,39,Male,Married,95000,N,0
11271,22,Female,Single,25000,N,
11342,59,Male,Married,95000,N,
11531,50,Male,Married,150000,N,0
11533,64,Male,Married,150000,Y,6
11549,56,Male,Single,57500,Y,1
11863,36,Male,Married,187500,Y,1
11965,28,Male,Single,,N,
12003,80,Female,Married,250000,Y,1
12029,90,Male,Single,162500,N,0
12074,,,,,,
12118,68,Female,Married,87500,,
12346,44,Male,Married,70000,N,0
12376,26,Male,Single,37500,,
12457,52,Male,Married,25000,Y,1
12797,68,Female,Married,57500,N,0
12884,80,Male,Married,112500,N,0
13311,,,,,,
14045,59,Male,Married,150000,N,0
14057,75,Male,Single,65000,N,0
14103,,,,,,
14346,64,Male,Married,85000,N,0
14502,42,Male,Married,225000,Y,1
14519,46,Male,Married,112500,Y,1
14565,,,Single,75000,N,
14599,,,,,,
14736,52,Male,Married,95000,Y,2
14847,56,Male,Married,85000,N,1
14894,53,Female,Married,150000,Y,2
15102,51,Female,Single,85000,N,1
15284,62,Female,Single,75000,N,0
15434,37,Male,Single,150000,N,
15620,65,Male,Single,55000,N,0
15727,55,Female,Married,150000,Y,1
15734,31,Male,Married,137500,Y,1
15935,42,Female,Married,112500,Y,1
15956,,,,,,
15991,34,Male,Married,150000,Y,1
16264,31,Male,Single,150000,N,
16487,52,Male,Married,70000,N,0
16623,47,Male,Married,95000,Y,2
16661,47,Male,Married,65000,Y,1
16765,66,Male,Married,75000,N,0
16846,,,Married,85000,Y,3
16859,63,Male,Married,150000,Y,1
17023,62,Male,Married,112500,N,0
17366,71,,Married,150000,N,0
17373,58,Male,Married,187500,N,0
17715,76,Male,Married,250000,Y,1
17716,,,,,,
17873,56,Female,Single,112500,N,
18061,59,Male,Married,150000,Y,1
18084,30,Male,Single,187500,Y,1
18190,66,Male,Married,95000,N,1
18212,,,,,,
18233,44,Male,Married,112500,Y,3
18305,60,Male,Single,95000,N,
18417,74,Female,Married,95000,N,0
18547,68,Male,Single,95000,N,0
18580,26,Male,Married,45000,Y,3
18719,42,Female,Married,137500,N,
18751,43,Male,Single,35000,N,
18991,43,Male,Married,112500,Y,5
19107,56,Female,Single,47500,Y,2
19173,,Male,Single,95000,Y,1
19348,71,Female,Married,150000,N,0
19401,,,,,,
19560,52,Female,Married,125000,Y,3
19674,60,Male,Married,150000,Y,1
19846,55,Male,Married,150000,Y,2
19895,41,Male,Married,95000,Y,1
20114,63,Male,Married,150000,Y,1
20170,48,Male,Married,150000,Y,1
20502,54,Male,Married,85000,N,0
20742,,,,,,
20824,,,,,,
20966,61,Male,Married,150000,Y,1
21230,52,Male,Married,95000,N,
21281,,,,,,
21525,62,Male,Married,75000,N,0
21913,25,Male,Married,95000,N,0
22086,56,Female,Married,95000,Y,2
22091,42,Male,Married,125000,Y,3
22114,,,,,,
22311,55,Male,Married,75000,Y,1
22700,77,Female,Married,75000,N,
22770,73,Female,Married,112500,N,0
22931,36,Male,Single,70000,Y,3
22948,61,Female,Married,150000,N,0
23423,66,Male,Married,125000,Y,1
23479,76,Male,Married,95000,N,
23507,48,Female,,,,
23601,70,Male,Married,150000,Y,1
23615,37,Male,Married,150000,Y,1
23701,34,Male,Single,125000,N,0
23722,67,Male,Married,150000,N,0
23775,62,Female,Married,125000,N,0
23789,55,Female,Married,75000,Y,1
24119,60,Male,Married,125000,Y,3
24194,61,Male,Married,112500,N,
24245,58,Male,Single,150000,N,0
24524,38,Male,Single,150000,Y,1
24852,58,Male,Married,35000,N,
25014,73,Male,Married,112500,N,0
25057,22,Male,Married,150000,N,
25178,52,Male,Married,42500,,
25215,25,Male,Single,95000,N,
25467,34,Male,Single,95000,Y,1
25563,,,,,,
25600,,,,,,
25635,30,Male,Single,45000,N,0
25718,64,Male,Married,150000,N,0
26073,,,Married,150000,Y,2
26144,68,Male,Married,150000,N,0
26198,42,Male,Single,,,
26726,44,Male,Married,112500,Y,3
26772,69,Male,Married,150000,N,0
26788,32,Male,Married,137500,Y,1
26882,,,,,,
26903,55,Female,Single,75000,Y,3
27089,62,Female,Married,250000,,
27091,62,Male,Married,87500,Y,2
27216,,,,,,
27733,,,,,,
27825,,,,,,
28336,,,,,,
28470,40,Male,Married,225000,Y,1
28539,47,Female,Married,150000,Y,4
28870,43,Male,Married,112500,Y,1
28930,,,,,,
29180,50,Male,Married,150000,Y,2
29439,54,Female,Married,137500,N,0
29626,51,Male,Married,150000,Y,2
29637,70,Female,Married,112500,N,
29729,83,Male,Married,95000,N,0
29995,32,Male,Single,112500,N,
30009,54,Female,Married,75000,Y,2
30149,46,Female,Married,150000,N,0
30199,57,Male,Single,150000,N,
30372,48,Male,Single,27500,Y,1
30547,,,,,,
30559,36,Female,Married,75000,Y,3
30669,68,Male,Married,150000,Y,2
30699,45,Female,Married,150000,Y,1
30744,30,Male,Married,95000,Y,1
30745,69,Male,Married,75000,N,0
30987,34,Male,Single,35000,Y,2
31017,57,Male,Married,112500,N,0
31079,75,Male,Married,75000,N,0
31087,,,,,,
31261,69,Male,Married,150000,N,0
31286,46,Male,Single,112500,N,0
31572,,,,,,
31624,28,Female,Single,35000,N,
31636,79,Female,Single,150000,N,0
31819,63,Female,Married,85000,N,0
31824,35,Male,Married,150000,N,0
31868,,,,,,
31936,46,Female,Single,125000,Y,1
31950,54,Male,Married,187500,Y,3
32037,75,Male,Married,150000,Y,2
32652,35,Male,Married,75000,Y,2
32951,51,Male,Married,95000,Y,2
33050,64,Female,Married,150000,N,0
33191,28,Male,Single,150000,N,
33265,60,Male,Married,25000,Y,1
33276,46,Female,Married,125000,Y,1
33769,24,Female,Single,,N,
33953,55,Female,Married,150000,N,0
33961,28,Male,Single,137500,N,0
34039,,,,,,
34090,30,Female,Single,95000,Y,1
34283,55,Male,Married,150000,N,0
34346,,Female,Single,57500,,
34450,40,Male,Married,45000,Y,2
34462,56,Male,Married,37500,Y,1
34471,,,,,,
34839,64,Male,Married,150000,Y,2
35122,57,Female,Married,95000,Y,2
35123,52,Female,Married,87500,Y,2
35593,54,Male,Single,7500,N,
35659,58,Male,Married,225000,Y,4
35667,49,Male,Married,112500,Y,3
35750,47,Male,Married,150000,Y,3
35795,28,Female,Single,87500,Y,1
35957,22,Male,Married,150000,Y,1
35980,49,Male,Single,150000,Y,2
36016,66,Female,Married,150000,N,0
36297,,,,,,
36365,34,Male,Married,112500,Y,4
36435,72,Male,Married,150000,N,0
36455,59,Male,Married,112500,N,
36508,,,,,,
36548,,,,,,
36817,69,Male,Married,25000,N,
36857,,,,,,
36894,46,Male,Married,125000,N,0
37062,,,,,,
37096,62,Male,Married,42500,,
37183,79,Female,Single,137500,N,0
37225,,,,,,
37259,67,Male,Married,150000,N,0
37274,38,Female,Single,52500,N,0
37278,53,Male,Married,95000,N,0
37570,,,,,,
37658,66,Male,Married,150000,N,0
37724,58,Male,Married,55000,N,0
37732,,,,,,
37815,54,Male,Married,150000,N,2
38271,44,Female,Married,250000,Y,1
38326,46,Male,Married,150000,Y,1
38524,89,Female,Single,95000,Y,1
38800,23,Male,Married,95000,N,
39019,23,Male,Married,137500,N,
39056,51,Female,Married,137500,Y,1
39151,50,Male,Married,25000,Y,1
39210,53,Male,Married,150000,Y,1
39453,39,Male,Single,150000,Y,1
39498,,,,,,
39667,62,Female,Single,25000,Y,1
40160,29,Male,Single,137500,N,
40573,42,Male,,,,
40631,59,Male,Married,150000,Y,3
40992,,,,,,
41032,,,,,,
41191,36,Male,Married,150000,Y,1
41255,56,Female,Married,7500,N,
41427,35,Female,Married,95000,Y,4
41442,50,Female,Married,75000,Y,4
41535,,,Single,7500,N,
41647,55,Male,Married,95000,Y,2
41864,73,Male,Married,35000,N,0
42201,63,Female,Married,95000,Y,1
42302,36,Male,Married,35000,Y,5
42496,,,,,,
42512,,,,,,
42587,35,Female,Single,112500,Y,2
42620,26,Male,Single,150000,N,
42696,,,,,,
42783,,,,,,
42820,65,Male,Married,75000,N,
43277,56,Female,Married,87500,Y,2
43412,60,Male,Married,150000,N,1
43520,46,Male,Married,125000,N,0
43669,,,,,,
43684,40,Male,Married,45000,N,
43956,48,Female,Married,150000,N,0
44042,88,Male,Married,125000,,
44234,,,,,,
44244,77,Male,Married,25000,Y,1
44245,65,Female,Married,112500,N,
44302,,,,,,
44381,55,Female,Married,150000,N,0
44581,60,Female,Married,225000,Y,1
44604,66,Male,Married,125000,Y,3
44707,,,,,,
44774,60,Male,Single,87500,,
44922,73,Male,Married,95000,N,4
45252,39,Male,Single,150000,Y,2
45349,,,,,,
45530,82,Male,Married,250000,N,0
45628,,,,,,
45766,36,Male,Single,95000,N,
45949,20,Male,Single,,N,
45951,54,Male,Married,95000,N,0
46110,35,Male,Married,150000,Y,1
46176,45,Male,Married,65000,Y,1
46433,46,Female,Married,250000,Y,1
46510,,Male,,,N,0
46540,78,Male,Married,35000,N,0
46551,,,,,,
46561,,Male,Single,,,
46653,50,Female,Married,95000,N,
46793,43,Male,Married,150000,N,
47206,55,Female,Married,65000,Y,1
47230,22,Male,Married,125000,Y,2
47242,44,Female,Single,65000,Y,6
47455,66,Male,Married,112500,N,0
47494,49,Female,Married,95000,Y,3
47553,,,,,,
47555,,Male,Married,,N,0
47849,69,Female,Married,150000,N,
47983,,,Single,7500,N,0
48111,,Male,Single,150000,Y,2
48339,,,,,,
48438,34,Female,Married,150000,Y,4
48675,71,Male,Married,150000,N,0
48753,54,Male,Married,47500,,
48941,,,,,,
49061,66,Male,Single,225000,N,0
49230,47,Male,Single,150000,Y,4
49485,,,,,,
49499,45,Female,Single,75000,Y,1
49738,25,Male,Married,45000,Y,1
49825,57,Female,Married,137500,Y,1
49838,38,Female,Married,225000,Y,6
49919,,,Married,45000,Y,3
50022,50,Female,Married,55000,N,1
50206,49,Female,Married,150000,Y,1
50379,38,Female,Single,162500,Y,2
50579,39,Male,Single,137500,Y,1
50600,38,Female,Married,112500,Y,3
50661,72,Female,Married,125000,,
50746,46,Female,Married,150000,Y,2
50785,74,Male,Married,150000,Y,4
50843,57,Male,Single,150000,N,0
50851,47,Male,Single,55000,Y,1
50909,69,Male,Married,25000,N,
51279,46,Male,Married,150000,Y,6
51622,59,Male,Married,112500,N,
51813,47,Female,Married,25000,Y,1
51920,56,Male,Married,125000,N,0
52055,28,,Single,25000,N,0
52172,,,,,,
52208,28,Female,Married,45000,N,0
52284,,,,,,
52296,69,Male,Single,95000,N,0
52367,62,Female,Married,42500,N,0
52368,46,Male,Married,125000,Y,3
52426,40,Male,Married,27500,,
52609,38,Female,Married,75000,Y,2
52625,,,,,,
52844,,,,,,
53089,64,Female,Single,150000,N,0
53100,72,Male,Married,95000,N,0
53129,73,Male,Married,95000,N,
53273,68,Male,Married,150000,Y,3
53324,70,Female,Married,150000,N,0
53592,52,Male,,25000,Y,1
53692,45,Male,Married,65000,N,
53881,37,Male,Married,112500,Y,3
53908,65,Male,Married,55000,N,0
54017,44,Female,Married,150000,Y,5
54184,80,Male,Married,125000,N,0
54364,58,Male,Married,150000,N,
54384,51,Male,Married,150000,N,0
54457,,,,,,
54683,65,Male,Married,150000,N,
55210,60,,Single,65000,N,
55232,50,Female,Married,75000,Y,1
55372,60,Male,Married,125000,Y,1
55427,58,Male,Married,75000,Y,1
55542,72,Female,Married,112500,Y,1
55553,41,Male,Single,85000,Y,1
55594,52,Male,Single,150000,Y,1
55750,52,Female,Married,150000,Y,3
55760,37,Male,Married,55000,N,0
55834,57,Male,Married,150000,Y,3
56884,,Male,Single,25000,N,
57032,,,,,,
57150,43,Male,Single,112500,Y,1
57316,35,Male,Married,150000,N,0
57328,,,,,,
57515,,,,,,
57624,69,Male,Married,150000,N,0
57692,38,Female,Married,225000,Y,2
58184,52,Male,Married,112500,Y,1
58312,58,Male,Married,87500,N,0
58414,42,Male,Married,125000,N,0
58460,,,,,,
58533,39,Male,Single,150000,Y,3
58695,39,Female,Married,112500,Y,2
58833,44,Male,Married,150000,Y,5
58923,46,Female,Married,137500,Y,4
58990,,,,,,
59078,47,Female,Married,95000,Y,4
59140,60,Female,Married,45000,N,0
59164,75,Male,Married,95000,N,0
59212,52,Male,Married,150000,Y,3
59215,39,Male,Married,150000,Y,1
59889,62,Female,Married,150000,Y,1
59920,,,,,,
60040,,,,,,
60049,,,,,,
60402,,,,,,
60518,,,,,,
60646,56,Male,Married,137500,N,0
60776,,,Married,25000,Y,3
60809,32,Female,Single,150000,Y,1
