EVENT_NAME,EVENT_TIME,EVENT_DAY,CATEGORY,CATEGORY_DETAIL,PROMOTION
21REG0401,2021-04-01T16:10:00,Thursday,Historical Ceremony,Opening Day,Opening Day
21REG0401,2021-04-01T16:10:00,Thursday,Historical Ceremony,,Reds Magnetic Schedule
21REG0401,2021-04-01T16:10:00,Thursday,Theme Game,Opening Day,Opening Day
21REG0401,2021-04-01T16:10:00,Thursday,Theme Game,,Reds Magnetic Schedule
21REG0401,2021-04-01T16:10:00,Thursday,Kids/Family Event,Opening Day,Opening Day
21REG0401,2021-04-01T16:10:00,Thursday,Kids/Family Event,,Reds Magnetic Schedule
21REG0401,2021-04-01T16:10:00,Thursday,Day of Game Highlight,Opening Day,Opening Day
21REG0401,2021-04-01T16:10:00,Thursday,Day of Game Highlight,,Reds Magnetic Schedule
21REG0401,2021-04-01T16:10:00,Thursday,Concert,Opening Day,Opening Day
21REG0401,2021-04-01T16:10:00,Thursday,Concert,,Reds Magnetic Schedule
21REG0403,2021-04-03T16:10:00,Saturday,Hat,,Kids Opening Day
21REG0403,2021-04-03T16:10:00,Saturday,Hat,,Kids Reds Cap
21REG0404,2021-04-04T13:10:00,Sunday,Kids/Family Days,,Family Sunday
21REG0404,2021-04-04T13:10:00,Sunday,Misc. Giveaway,,Tucker Barnhart Fathead® Kids Giveaway
21REG0405,2021-04-05T18:40:00,Monday,Misc. Giveaway,,Weekday Giveaway
21REG0405,2021-04-05T18:40:00,Monday,Misc. Giveaway,,Reds Team Calendar
21REG0406,2021-04-06T18:40:00,Tuesday,Misc. Giveaway,,Weekday Giveaway
21REG0406,2021-04-06T18:40:00,Tuesday,Misc. Giveaway,,Reds Team Calendar
21REG0407,2021-04-07T12:35:00,Wednesday,Misc. Giveaway,,Weekday Giveaway
21REG0407,2021-04-07T12:35:00,Wednesday,Misc. Giveaway,,Reds Team Calendar
21REG0416,2021-04-16T19:10:00,Friday,Misc. Giveaway,,Weekday Giveaway
21REG0416,2021-04-16T19:10:00,Friday,Misc. Giveaway,,Jackie Robinson Baseball Card
21REG0417,2021-04-17T16:10:00,Saturday,Theme Days,,Super Saturday
21REG0417,2021-04-17T16:10:00,Saturday,Misc. Giveaway,,Eric Davis FUNKO POP!
21REG0418,2021-04-18T13:10:00,Sunday,Kids/Family Days,,Family Sunday
21REG0418,2021-04-18T13:10:00,Sunday,Misc. Giveaway,,Amir Garrett Fathead® Kids Giveaway
21REG0430,2021-04-30T19:10:00,Friday,Fireworks or Drone Show,,Fireworks Friday
21REG0430,2021-04-30T19:10:00,Friday,Fireworks or Drone Show,,Post-Game Fireworks Show
21REG0501,2021-05-01T16:10:00,Saturday,Theme Days,,Super Saturday
21REG0501,2021-05-01T16:10:00,Saturday,Misc. Giveaway,,Reds Tote Bag
21REG0502,2021-05-02T13:10:00,Sunday,Kids/Family Days,,Family Sunday
21REG0502,2021-05-02T13:10:00,Sunday,Misc. Giveaway,,Shogo Akiyama Fathead® Kids Giveaway
21REG0505,2021-05-05T12:35:00,Wednesday,Misc. Giveaway,,Weekday Giveaway
21REG0505,2021-05-05T12:35:00,Wednesday,Misc. Giveaway,,Reds Tote Bag
21REG0517,2021-05-17T18:40:00,Monday,Misc. Giveaway,,Weekday Giveaway
21REG0517,2021-05-17T18:40:00,Monday,Bobblehead,,Mike Moustakas Bobblehead
21REG0521,2021-05-21T19:10:00,Friday,Fireworks or Drone Show,,Fireworks Friday
21REG0521,2021-05-21T19:10:00,Friday,Fireworks or Drone Show,,Post-Game Fireworks Show
21REG0522,2021-05-22T16:10:00,Saturday,Theme Days,,Super Saturday
21REG0522,2021-05-22T16:10:00,Saturday,Bobblehead,,Mike Moustakas Bobblehead
21REG0523,2021-05-23T13:10:00,Sunday,Kids/Family Days,,Family Sunday
21REG0523,2021-05-23T13:10:00,Sunday,Misc. Giveaway,,Team Baseball Card Set Kids Giveaway
21REG0601,2021-06-01T19:10:00,Tuesday,Day of Game Highlight,,Jewish Community Night
21REG0609,2021-06-09T19:10:00,Wednesday,Misc. Giveaway,,Weekday Giveaway
21REG0609,2021-06-09T19:10:00,Wednesday,Bobblehead,,Shogo Akiyama Bobblehead
21REG0610,2021-06-10T12:35:00,Thursday,Day of Game Highlight,,Business Day Specials
21REG0610,2021-06-10T12:35:00,Thursday,Ticket Offer,,Thirsty Thursdays
21REG0611,2021-06-11T19:10:00,Friday,Theme Game,,Pride Community Night
21REG0611,2021-06-11T19:10:00,Friday,Fireworks or Drone Show,,Fireworks Friday
21REG0611,2021-06-11T19:10:00,Friday,Fireworks or Drone Show,,Post-Game Fireworks Show
21REG0612,2021-06-12T16:10:00,Saturday,Theme Days,,Super Saturday
21REG0612,2021-06-12T16:10:00,Saturday,Bobblehead,,Shogo Akiyama Bobblehead
21REG0613,2021-06-13T13:10:00,Sunday,Kids/Family Days,,Family Sunday
21REG0613,2021-06-13T13:10:00,Sunday,Misc. Giveaway,,Fathead® Kids Giveaway
21REG0613,2021-06-13T13:10:00,Sunday,Kids/Family Days,,Family Sunday
21REG0624,2021-06-24T19:10:00,Thursday,Ticket Offer,,Thirsty Thursdays
21REG0624,2021-06-24T19:10:00,Thursday,Misc. Giveaway,,Weekday Giveaway
21REG0624,2021-06-24T19:10:00,Thursday,Bobblehead,,"""Queen City Sluggers"" Triple Bobblehead"
21REG0625,2021-06-25T19:10:00,Friday,Fireworks or Drone Show,,Fireworks Friday
21REG0625,2021-06-25T19:10:00,Friday,Fireworks or Drone Show,,Post-Game Fireworks Show
21REG0626,2021-06-26T16:10:00,Saturday,Theme Days,,Super Saturday
21REG0626,2021-06-26T16:10:00,Saturday,Bobblehead,,"""Queen City Sluggers"" Triple Bobblehead"
21REG0627,2021-06-27T13:10:00,Sunday,Kids/Family Days,,Family Sunday
21REG0627,2021-06-27T13:10:00,Sunday,Misc. Giveaway,,Bee Plush Kids Giveaway
21REG0627,2021-06-27T13:10:00,Sunday,Kids/Family Days,,Family Sunday
21REG0629,2021-06-29T19:10:00,Tuesday,Theme Game,,Cincinnati Zoo Ticket Package
21REG0701,2021-07-01T19:10:00,Thursday,Ticket Offer,,Thirsty Thursdays
21REG0702,2021-07-02T19:10:00,Friday,Fireworks or Drone Show,,Fireworks Friday
21REG0702,2021-07-02T19:10:00,Friday,Fireworks or Drone Show,,Post-Game Fireworks Show
21REG0703,2021-07-03T16:10:00,Saturday,Theme Days,,Super Saturday
21REG0703,2021-07-03T16:10:00,Saturday,Apparel,,Patriotic T-Shirt
21REG0704,2021-07-04T13:10:00,Sunday,Theme Days,,Military Appreciation Days
21REG0704,2021-07-04T13:10:00,Sunday,Kids/Family Days,,Family Sunday
21REG0704,2021-07-04T13:10:00,Sunday,Kids/Family Days,,Family Sunday
21REG0704,2021-07-04T13:10:00,Sunday,Misc. Giveaway,,Fathead® Kids Giveaway
21REG0716,2021-07-16T19:10:00,Friday,Day of Game Highlight,,African American Community Night
21REG0716,2021-07-16T19:10:00,Friday,Fireworks or Drone Show,,Fireworks Friday
21REG0716,2021-07-16T19:10:00,Friday,Fireworks or Drone Show,,Post-Game Fireworks Show
21REG0717,2021-07-17T19:10:00,Saturday,Theme Days,,Super Saturday
21REG0717,2021-07-17T19:10:00,Saturday,Misc. Giveaway,,MARVEL Wade Miley No-Hitter Poster
21REG0718,2021-07-18T13:10:00,Sunday,Kids/Family Days,,Family Sunday
21REG0718,2021-07-18T13:10:00,Sunday,Figurine,,Luis Castillo Fathead® Kids Giveaway
21REG0720,2021-07-20T19:10:00,Tuesday,Theme Game,,STAR WARS™ Ticket Package
