"","ACCOUNT_KEY","SEASON_YEAR","ACCOUNT_TYPE","sum(TICKET_SOLD)","sum(FLEX_PLAN_TICKET_SOLD)","sum(FULL_PLAN_TICKET_SOLD)","sum(FORTY_PLAN_TICKET_SOLD)","sum(GROUP_TICKET_SOLD)","sum(MINI_PLAN_TICKET_SOLD)","sum(SEASON_TICKET_SOLD)","sum(SINGLE_TICKET_SOLD)","sum(SIXPACK_PLAN_TICKET_SOLD)"
"1",332,2021,"Individual",5,0,0,0,0,0,0,5,0
"2",332,2022,"Individual",23,0,0,0,23,0,0,0,0
"3",332,2023,"Individual",4,0,0,0,0,0,0,4,0
"4",332,2024,"Individual",20,0,12,0,0,0,12,8,0
"5",403,2023,"Individual",8,0,0,0,0,0,0,8,8
"6",457,2023,"Individual",2,0,0,0,0,0,0,2,0
"7",457,2024,"Individual",4,0,0,0,0,0,0,4,0
"8",497,2024,"Individual",4,0,0,0,0,0,0,4,0
"9",823,2021,"Individual",15,0,0,0,0,0,0,15,0
"10",823,2023,"Individual",12,0,0,0,0,0,0,12,12
"11",823,2024,"Individual",20,0,0,0,0,0,0,20,0
"12",875,2021,"Individual",4,0,0,0,0,0,0,4,0
"13",875,2023,"Individual",8,0,0,0,0,0,0,8,0
"14",875,2024,"Individual",4,0,0,0,0,0,0,4,0
"15",1040,2021,"Individual",4,0,0,0,0,0,0,4,0
"16",1040,2023,"Individual",2,0,0,0,0,0,0,2,2
"17",1048,2023,"Individual",5,0,0,0,0,0,0,5,5
"18",1617,2023,"Individual",10,0,0,0,0,0,0,10,0
"19",1663,2021,"Individual",7,0,0,0,0,0,0,7,0
"20",1663,2022,"Individual",8,0,0,0,0,0,0,8,0
"21",1663,2023,"Individual",2,0,0,0,0,0,0,2,0
"22",1877,2024,"Individual",40,0,0,0,0,0,0,40,40
"23",1884,2022,"Individual",2,0,0,0,0,0,0,2,0
"24",1984,2023,"Individual",9,0,0,0,9,0,0,0,0
"25",1984,2024,"Individual",2,0,0,0,0,0,0,2,0
"26",2262,2021,"Business",82,0,0,0,0,0,82,0,0
"27",2262,2022,"Business",72,0,0,0,0,0,72,0,0
"28",2294,2023,"Individual",3,0,0,0,0,0,0,3,0
"29",2294,2024,"Individual",6,0,0,0,0,0,0,6,0
"30",2307,2021,"Individual",4,0,0,0,0,0,2,2,0
"31",2376,2024,"Business",308,0,292,0,0,0,308,0,0
"32",2572,2024,"Individual",5,0,0,0,0,0,0,5,0
"33",3235,2022,"Individual",4,0,0,0,0,0,0,4,0
"34",3235,2024,"Individual",6,0,0,0,0,0,0,6,0
"35",3423,2024,"Individual",80,0,0,0,0,0,80,0,0
"36",3965,2021,"Business",4,0,0,0,0,0,0,4,0
"37",3976,2022,"Individual",8,0,0,0,0,0,0,8,8
"38",4270,2021,"Individual",8,0,0,0,0,0,0,8,0
"39",4270,2022,"Individual",17,0,0,0,15,0,0,2,0
"40",4270,2023,"Individual",5,0,0,0,0,0,0,5,0
"41",4270,2024,"Individual",6,0,0,0,0,0,2,4,0
"42",4700,2021,"Individual",8,0,0,0,0,0,0,8,0
"43",4700,2022,"Individual",20,0,0,0,0,0,0,20,20
"44",4700,2023,"Individual",4,0,0,0,0,0,0,4,0
"45",4769,2021,"Individual",4,0,0,0,0,0,0,4,0
"46",4769,2023,"Individual",3,0,0,0,0,0,0,3,0
"47",4769,2024,"Individual",51,0,0,0,0,33,36,15,0
"48",4798,2021,"Individual",4,0,0,0,0,0,0,4,0
"49",4798,2022,"Individual",6,0,0,0,0,0,0,6,0
"50",4798,2023,"Individual",4,0,0,0,0,0,0,4,0
"51",4798,2024,"Individual",4,0,0,0,0,0,0,4,0
"52",4881,2021,"Business",4,0,0,0,0,0,0,4,0
"53",4881,2022,"Business",6,0,0,0,0,0,0,6,0
"54",4881,2024,"Business",2,0,0,0,0,0,0,2,0
"55",4902,2023,"Individual",2,0,0,0,0,0,0,2,0
"56",5117,2024,"Individual",2,0,0,0,0,0,0,2,0
"57",5215,2021,"Individual",9,9,0,0,0,0,0,9,0
"58",5215,2022,"Individual",8,0,0,0,0,0,0,8,0
"59",5218,2024,"Individual",22,0,0,0,6,0,0,16,12
"60",5287,2022,"Individual",4,0,0,0,0,0,0,4,4
"61",5428,2023,"Individual",13,0,0,0,0,0,0,13,0
"62",5428,2024,"Individual",4,0,0,0,0,0,0,4,0
"63",5456,2023,"Individual",1,0,0,0,0,0,1,0,0
"64",5935,2023,"Individual",2,0,0,0,0,0,0,2,0
"65",5998,2023,"Individual",5,0,0,0,5,0,0,0,0
"66",5998,2024,"Individual",6,0,0,0,0,0,4,2,0
"67",6044,2023,"Individual",3,0,0,0,0,0,0,3,0
"68",6044,2024,"Individual",2,0,0,0,0,0,0,2,0
